region_id,name,kind,type,year,quarter,download_mbps,upload_mbps,latency_ms,tile_median_download_mbps,tests,devices,tiles
D-siazan,Siazan,district,fixed,2019,2,1.29,1.899,46.92,1.684,51.0,12.0,11
D-tartar,Tartar,district,fixed,2019,2,5.064,4.596,62.89,1.017,19.0,10.0,9
D-tovuz,Tovuz,district,fixed,2019,2,4.024,1.457,156.72,1.74,142.0,70.0,54
D-ujar,Ujar,district,fixed,2019,2,1.759,1.328,39.76,1.027,17.0,9.0,9
D-yardymli,Yardymli,district,fixed,2019,2,3.591,4.364,16.5,1.006,54.0,11.0,10
D-yevlakh,Yevlakh,district,fixed,2019,2,2.636,2.721,57.19,1.946,26.0,14.0,12
D-zaqatala,Zaqatala,district,fixed,2019,2,1.722,0.901,78.39,1.31,51.0,31.0,30
D-zardab,Zardab,district,fixed,2019,2,2.428,1.035,47.77,1.805,26.0,11.0,8
C-baku,Baku,city,fixed,2019,3,17.293,18.245,23.55,4.744,111794.0,37034.0,2682
C-ganja,Ganja,city,fixed,2019,3,7.032,7.124,64.44,5.15,2923.0,988.0,146
C-lankaran,Lankaran,city,fixed,2019,3,4.307,2.419,164.02,3.014,315.0,95.0,40
C-mingachevir,Mingachevir,city,fixed,2019,3,7.435,9.564,55.02,5.86,500.0,194.0,46
C-nakhchivan,Nakhchivan,city,fixed,2019,3,3.906,3.639,124.35,1.921,179.0,118.0,47
C-shaki,Shaki,city,fixed,2019,3,4.214,3.731,90.91,2.244,198.0,108.0,32
C-shirvan,Shirvan,city,fixed,2019,3,10.07,9.649,21.62,2.388,489.0,140.0,27
C-sumqayit,Sumqayit,city,fixed,2019,3,13.882,14.745,23.41,4.794,5943.0,1953.0,188
C-yevlakh,Yevlakh,city,fixed,2019,3,2.467,0.976,46.97,1.558,115.0,46.0,27
D-absheron,Absheron,district,fixed,2019,3,11.475,10.702,27.78,4.258,7687.0,2282.0,369
D-agdam,Agdam,district,fixed,2019,3,2.11,0.649,50.85,1.584,33.0,19.0,17
D-agdash,Agdash,district,fixed,2019,3,2.736,0.928,50.91,2.374,54.0,37.0,29
D-aghjabadi,Aghjabadi,district,fixed,2019,3,7.454,8.012,35.95,2.479,239.0,85.0,53
D-agstafa,Agstafa,district,fixed,2019,3,2.103,1.311,80.66,1.51,153.0,71.0,49
D-agsu,Agsu,district,fixed,2019,3,6.861,2.319,47.32,2.545,196.0,96.0,48
D-astara,Astara,district,fixed,2019,3,3.235,1.54,47.08,1.69,104.0,61.0,47
D-babek,Babek,district,fixed,2019,3,4.411,7.614,219.5,1.56,88.0,35.0,26
