iso3,month,capable_pct,preferred_pct,samples
BLR,2025-02,14.81,14.3,3341373
BLR,2025-03,14.74,11.7,3986006
BLR,2025-04,14.22,13.75,3376636
BLR,2025-05,14.18,13.79,3508062
BLR,2025-06,13.81,13.54,3527021
BLR,2025-07,14.06,13.55,3599868
BLR,2025-08,14.24,13.68,4139004
BLR,2025-09,14.82,14.29,3968677
BLR,2025-10,14.25,13.78,4552825
BLR,2025-11,13.74,13.56,4482006
BLR,2025-12,13.47,13.32,5267098
BLR,2026-01,12.55,12.39,4972403
BLR,2026-02,11.76,11.62,4690762
BLR,2026-03,13.36,13.09,4469287
BLR,2026-04,13.29,13.08,4456141
BLR,2026-05,13.86,13.62,3986206
BLR,2026-06,14.31,14.1,2893049
BLR,2026-07,14.12,13.84,3422862
BLR,2026-08,14.41,14.09,3374734
GEO,2015-01,0.0,0.0,8114
GEO,2015-02,0.0,0.0,87817
GEO,2015-03,0.02,0.02,53673
GEO,2015-04,0.28,0.0,123764
GEO,2015-05,0.3,0.0,158973
GEO,2015-06,0.31,0.01,216446
GEO,2015-07,0.24,0.02,500854
GEO,2015-08,0.56,0.02,523540
GEO,2015-09,0.03,0.0,746622
GEO,2015-10,0.01,0.0,2279010
GEO,2015-11,0.01,0.0,953847
GEO,2015-12,0.02,0.0,278688
GEO,2016-01,0.01,0.0,1010247
GEO,2016-02,0.01,0.0,732172
GEO,2016-03,0.02,0.0,873393
GEO,2016-04,0.01,0.0,852475
GEO,2016-05,0.01,0.0,928438
GEO,2016-06,0.0,0.0,901907
GEO,2016-07,0.0,0.0,773609
GEO,2016-08,0.0,0.0,499447
GEO,2016-09,0.0,0.0,542410
GEO,2016-10,0.0,0.0,689773
GEO,2016-11,0.0,0.0,631992
GEO,2016-12,0.0,0.0,500108
GEO,2017-01,0.01,0.0,920423
GEO,2017-02,0.0,0.0,557601
GEO,2017-03,0.0,0.0,403705
GEO,2017-04,0.0,0.0,254626
GEO,2017-05,0.0,0.0,91564
GEO,2017-06,0.0,0.0,92298
GEO,2017-07,0.0,0.0,286707
GEO,2017-08,0.01,0.0,211768
GEO,2017-09,0.0,0.0,222153
GEO,2017-10,0.01,0.0,451536
GEO,2017-11,0.01,0.01,326150
GEO,2017-12,0.01,0.01,71322
GEO,2018-01,0.01,0.01,382067
GEO,2018-02,0.0,0.0,167945
GEO,2018-03,0.0,0.0,289297
GEO,2018-04,0.0,0.0,582693
GEO,2018-05,0.0,0.0,1531856
GEO,2018-06,0.0,0.0,1644557
GEO,2018-07,0.0,0.0,1258288
GEO,2018-08,0.0,0.0,1084338
GEO,2018-09,0.02,0.0,518266
GEO,2018-10,0.01,0.01,283959
GEO,2018-11,0.0,0.0,366505
GEO,2018-12,0.0,0.0,232887
GEO,2019-01,0.0,0.0,134940
GEO,2019-02,0.0,0.0,120577
GEO,2019-03,0.0,0.0,126349
GEO,2019-04,0.01,0.01,119287
GEO,2019-05,0.01,0.0,100897
GEO,2019-06,0.01,0.01,296069
GEO,2019-07,0.02,0.02,355497
GEO,2019-08,0.01,0.01,384648
GEO,2019-09,0.02,0.02,323323
GEO,2019-10,0.02,0.02,250021
GEO,2019-11,0.01,0.01,252451
GEO,2019-12,0.01,0.01,193896
GEO,2020-01,0.01,0.01,186844
GEO,2020-02,0.02,0.02,199115
GEO,2020-03,0.01,0.01,185117
GEO,2020-04,0.01,0.01,187036
GEO,2020-05,0.0,0.0,195708
GEO,2020-06,0.01,0.01,187324
GEO,2020-07,0.01,0.01,143477
GEO,2020-08,0.01,0.01,170741
GEO,2020-09,0.01,0.01,167128
GEO,2020-10,0.01,0.01,220455
GEO,2020-11,0.01,0.01,275006
GEO,2020-12,0.01,0.01,295030
GEO,2021-01,0.01,0.01,293188
GEO,2021-02,0.02,0.02,346456
GEO,2021-03,0.02,0.02,345971
GEO,2021-04,0.02,0.02,283956
GEO,2021-05,0.02,0.02,305331
GEO,2021-06,0.02,0.02,247670
GEO,2021-07,0.02,0.02,276555
GEO,2021-08,0.02,0.02,294709
GEO,2021-09,0.02,0.02,413695
GEO,2021-10,0.03,0.03,469429
GEO,2021-11,0.02,0.02,561545
GEO,2021-12,0.06,0.06,538137
GEO,2022-01,0.36,0.23,954040
GEO,2022-02,4.24,3.95,956786
GEO,2022-03,11.31,10.39,1114345
GEO,2022-04,11.2,10.08,1265703
GEO,2022-05,10.57,9.49,1252767
GEO,2022-06,10.56,9.46,1020703
GEO,2022-07,11.18,10.14,845108
GEO,2022-08,10.36,9.99,1047864
GEO,2022-09,10.12,9.9,807901
GEO,2022-10,11.05,10.92,909445
GEO,2022-11,12.08,12.0,999218
GEO,2022-12,12.61,12.53,756396
GEO,2023-01,16.0,15.86,647592
GEO,2023-02,13.31,13.21,777970
GEO,2023-03,14.42,14.32,758280
GEO,2023-04,14.15,13.95,747653
GEO,2023-05,13.78,13.53,744005
GEO,2023-06,14.08,13.88,710284
GEO,2023-07,14.31,14.06,659525
GEO,2023-08,14.71,14.43,628342
GEO,2023-09,13.26,12.89,446862
GEO,2023-10,13.67,13.39,557989
GEO,2023-11,14.54,14.39,516663
GEO,2023-12,15.15,14.95,422858
GEO,2024-01,15.99,15.65,520645
GEO,2024-02,14.96,14.63,497954
GEO,2024-03,14.91,14.48,552091
GEO,2024-04,13.66,13.3,628528
GEO,2024-05,13.91,13.4,678272
GEO,2024-06,13.98,13.76,725778
GEO,2024-07,10.89,10.37,847625
GEO,2024-08,12.16,11.46,940336
GEO,2024-09,11.43,10.93,765461
GEO,2024-10,12.35,12.09,1111567
GEO,2024-11,12.62,12.07,1538006
GEO,2024-12,14.83,13.87,1566870
GEO,2025-01,15.98,14.83,1853190
GEO,2025-02,13.94,13.08,867646
GEO,2025-03,12.75,10.44,1095225
GEO,2025-04,12.73,12.4,1126534
GEO,2025-05,13.8,13.47,1021603
GEO,2025-06,13.16,12.71,1034348
GEO,2025-07,13.35,12.96,1115679
GEO,2025-08,13.36,12.97,1180825
GEO,2025-09,13.26,12.94,1263222
GEO,2025-10,13.59,13.23,1136545
GEO,2025-11,13.28,12.96,1069624
GEO,2025-12,13.58,11.86,1276464
GEO,2026-01,13.42,12.0,1691814
GEO,2026-02,12.85,12.44,1533525
GEO,2026-03,12.25,11.59,1548930
GEO,2026-04,12.21,11.76,1242328
GEO,2026-05,12.08,11.7,1411381
GEO,2026-06,12.31,12.04,940037
GEO,2026-07,13.22,12.8,1012045
GEO,2026-08,13.13,12.8,1194016
KAZ,2015-01,0.0,0.0,3214
KAZ,2015-02,0.0,0.0,94708
KAZ,2015-03,0.0,0.0,64184
KAZ,2015-04,0.0,0.0,123235
KAZ,2015-05,0.0,0.0,131978
KAZ,2015-06,0.23,0.01,141529
KAZ,2015-07,0.37,0.02,198547
KAZ,2015-08,0.28,0.03,282278
KAZ,2015-09,0.02,0.0,213871
KAZ,2015-10,0.0,0.0,674478
KAZ,2015-11,0.0,0.0,778163
KAZ,2015-12,0.0,0.0,304442
KAZ,2016-01,0.01,0.0,680183
KAZ,2016-02,0.0,0.0,628990
KAZ,2016-03,0.0,0.0,1265603
KAZ,2016-04,0.02,0.0,1145463
KAZ,2016-05,0.31,0.0,907828
KAZ,2016-06,0.0,0.0,865532
KAZ,2016-07,0.0,0.0,1019766
KAZ,2016-08,0.0,0.0,790823
KAZ,2016-09,0.0,0.0,978000
KAZ,2016-10,0.01,0.01,1902245
KAZ,2016-11,0.01,0.01,1188783
KAZ,2016-12,0.0,0.0,697441
KAZ,2017-01,0.01,0.01,1699847
KAZ,2017-02,0.01,0.0,690449
KAZ,2017-03,0.03,0.01,377385
KAZ,2017-04,0.0,0.0,266096
KAZ,2017-05,0.02,0.01,136819
KAZ,2017-06,0.01,0.0,167069
KAZ,2017-07,0.01,0.0,369396
KAZ,2017-08,0.01,0.0,512491
KAZ,2017-09,0.01,0.0,1455158
KAZ,2017-10,0.01,0.01,5474277
KAZ,2017-11,0.01,0.01,2512623
KAZ,2017-12,0.01,0.01,1055399
KAZ,2018-01,0.01,0.01,2409034
KAZ,2018-02,0.0,0.0,461101
KAZ,2018-03,0.0,0.0,405982
KAZ,2018-04,0.0,0.0,244316
KAZ,2018-05,0.01,0.0,414527
KAZ,2018-06,0.01,0.01,235753
KAZ,2018-07,0.02,0.01,145173
KAZ,2018-08,0.02,0.01,240783
KAZ,2018-09,0.01,0.01,161385
KAZ,2018-10,0.01,0.01,770135
KAZ,2018-11,0.01,0.01,1112757
KAZ,2018-12,0.01,0.0,566517
KAZ,2019-01,0.01,0.01,345392
KAZ,2019-02,0.01,0.0,355009
KAZ,2019-03,0.0,0.0,481133
KAZ,2019-04,0.01,0.01,436998
KAZ,2019-05,0.0,0.0,375122
KAZ,2019-06,0.01,0.01,1042203
KAZ,2019-07,0.01,0.01,1159785
KAZ,2019-08,0.01,0.01,1250564
KAZ,2019-09,0.01,0.01,1222624
KAZ,2019-10,0.01,0.01,1115948
